ip,timestamp,method,uri,status_code,url_length,bytes,response_bytes,decoded_uri,is_suspicious_uri,is_4xx,is_5xx,bytes_normal,bytes_error,request_interval,method_GET,method_HEAD,method_OPTIONS,method_POST
40.77.167.129,1/22/2019 3:56,GET,/image/6229/productModel/150x150,200,32,2739,2739,/image/6229/productmodel/150x150,0,0,0,2739,#N/A,0,TRUE,FALSE,FALSE,FALSE
40.77.167.129,1/22/2019 3:56,GET,/image/6248/productModel/150x150,200,32,2788,2788,/image/6248/productmodel/150x150,0,0,0,2788,#N/A,0,TRUE,FALSE,FALSE,FALSE
40.77.167.129,1/22/2019 3:56,GET,/image/64815/productModel/150x150,200,33,3481,3481,/image/64815/productmodel/150x150,0,0,0,3481,#N/A,0,TRUE,FALSE,FALSE,FALSE
66.249.66.194,1/22/2019 3:56,GET,"/m/filter/b1,b103,b126,b136,b143,b148,b183,b185,b188,b192,b198,b20,b202,b216,b218,b221,b226,b236,b249,b256,b261,b270,b3,b308,b32,b36,b4,b41,b42,b43,b441,b454,b481,b484,b523,b548,b570,b573,b598,b6,b613,b614,b63,b647,b651,b701,b703,b874,b879,b88,b880,b883,b890,b900,b903,b99,stexists",200,281,27284,27284,"/m/filter/b1,b103,b126,b136,b143,b148,b183,b185,b188,b192,b198,b20,b202,b216,b218,b221,b226,b236,b249,b256,b261,b270,b3,b308,b32,b36,b4,b41,b42,b43,b441,b454,b481,b484,b523,b548,b570,b573,b598,b6,b613,b614,b63,b647,b651,b701,b703,b874,b879,b88,b880,b883,b890,b900,b903,b99,stexists",0,0,0,27284,#N/A,0,TRUE,FALSE,FALSE,FALSE
51.15.15.54,1/22/2019 3:56,GET,/blog/tag/%DA%AF%D8%AC%D8%AA/,200,29,21391,21391,/blog/tag/گجت/,0,0,0,21391,#N/A,0,TRUE,FALSE,FALSE,FALSE
66.249.66.194,1/22/2019 3:56,GET,/product/34024/64843/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D9%BE%D8%A7%DB%8C%DB%8C%D9%86-%D8%AF%D9%88%D9%88-%D9%85%D8%AF%D9%84-Ultimo-SR-D2LW,200,197,43526,43526,/product/34024/64843/یخچال-فریزر-فریزر-پایین-دوو-مدل-ultimo-sr-d2lw,0,0,0,43526,#N/A,0,TRUE,FALSE,FALSE,FALSE
54.36.149.63,1/22/2019 3:56,GET,"/filter/b41,b632,p47,stexists,t445",200,34,33613,33613,"/filter/b41,b632,p47,stexists,t445",0,0,0,33613,#N/A,0,TRUE,FALSE,FALSE,FALSE
66.249.66.194,1/22/2019 3:56,GET,/product/4057/47/78306,200,22,41398,41398,/product/4057/47/78306,0,0,0,41398,#N/A,0,TRUE,FALSE,FALSE,FALSE
40.77.167.129,1/22/2019 3:56,GET,/image/45437/productModel/150x150,200,33,3688,3688,/image/45437/productmodel/150x150,0,0,0,3688,#N/A,0,TRUE,FALSE,FALSE,FALSE
40.77.167.129,1/22/2019 3:56,GET,/image/576/article/100x100,200,26,14776,14776,/image/576/article/100x100,0,0,0,14776,#N/A,0,TRUE,FALSE,FALSE,FALSE
