IP,total_requests,requests_per_minute,unique_url_count,avg_url_length,avg_response_bytes,total_response_bytes,status_4xx_ratio,status_5xx_ratio,error_ratio_4xx_5xx,suspicious_uri_count,suspicious_uri_ratio,avg_request_interval_sec,min_request_interval_sec,method_ratio_GET,method_ratio_HEAD,method_ratio_OTHER,method_ratio_POST
5.114.160.181,194,0.7903850071297617,138,26.582474226804123,10930.257731958764,2120470,0.005154639175257732,0.0,0.005154639175257732,0,0.0,5.746113989637306,0.0,1.0,0.0,0.0,0.0
217.218.175.165,190,0.774088409044612,179,30.57894736842105,8605.668421052631,1635077,0.0,0.0,0.0,0,0.0,4.5396825396825395,0.0,1.0,0.0,0.0,0.0
63.143.42.246,189,0.7700142595233246,1,1.0,321.24867724867727,60716,0.005291005291005291,0.0,0.005291005291005291,0,0.0,76.14893617021276,1.0,0.021164021164021163,0.9788359788359788,0.0,0.0
5.114.88.92,184,0.7496435119168874,111,30.63586956521739,11054.228260869566,2033978,0.0,0.0,0.0,0,0.0,1.1530054644808743,0.0,1.0,0.0,0.0,0.0
77.104.75.68,184,0.7496435119168874,152,35.119565217391305,7807.744565217391,1436625,0.059782608695652176,0.0,0.059782608695652176,0,0.0,0.7158469945355191,0.0,0.9945652173913043,0.0,0.0,0.005434782608695652
5.117.161.233,183,0.7455693623955999,155,31.0327868852459,11635.508196721312,2129298,0.0,0.0,0.0,0,0.0,1.9230769230769231,0.0,1.0,0.0,0.0,0.0
2.190.156.108,182,0.7414952128743125,140,30.12087912087912,10982.153846153846,1998752,0.0,0.0,0.0,0,0.0,0.6077348066298343,0.0,0.9945054945054945,0.0,0.0,0.005494505494505495
95.216.11.34,179,0.7292727643104502,178,66.41340782122904,32576.04469273743,5831112,0.0223463687150838,0.0,0.0223463687150838,1,0.00558659217877095,3.6853932584269664,1.0,1.0,0.0,0.0,0.0
5.62.222.160,178,0.7251986147891628,127,39.7752808988764,14531.41573033708,2586592,0.09550561797752809,0.0,0.09550561797752809,0,0.0,3.4971751412429377,0.0,0.898876404494382,0.0898876404494382,0.0,0.011235955056179775
86.107.94.16,175,0.7129761662253005,144,37.15428571428571,13066.754285714285,2286682,0.11428571428571428,0.0,0.11428571428571428,0,0.0,2.8505747126436782,0.0,0.8857142857142857,0.11428571428571428,0.0,0.0
5.218.186.115,175,0.7129761662253005,171,29.428571428571427,6354.4857142857145,1112035,0.0,0.0,0.0,0,0.0,1.2988505747126438,0.0,0.9828571428571429,0.0,0.0,0.017142857142857144
146.185.133.111,170,0.6926054186188634,155,30.08823529411765,10937.894117647058,1859442,0.0,0.0,0.0,0,0.0,1.8994082840236686,0.0,1.0,0.0,0.0,0.0
89.196.15.167,168,0.6844571195762885,148,31.68452380952381,10976.613095238095,1844071,0.005952380952380952,0.0,0.005952380952380952,0,0.0,2.1736526946107784,0.0,0.9940476190476191,0.0,0.0,0.005952380952380952
5.202.3.56,168,0.6844571195762885,165,24.107142857142858,7377.089285714285,1239351,0.0,0.0,0.0,0,0.0,0.07784431137724551,0.0,1.0,0.0,0.0,0.0
5.202.1.143,167,0.680382970055001,151,30.317365269461078,9394.425149700599,1568869,0.0,0.0,0.0,0,0.0,9.156626506024097,0.0,0.9401197604790419,0.0,0.0,0.059880239520958084
89.221.90.45,167,0.680382970055001,126,30.664670658682635,11383.982035928144,1901125,0.005988023952095809,0.0,0.005988023952095809,0,0.0,2.2590361445783134,0.0,0.9880239520958084,0.0,0.0,0.011976047904191617
5.121.43.23,166,0.6763088205337137,146,30.325301204819276,8329.825301204819,1382751,0.0,0.0,0.0,0,0.0,3.915151515151515,0.0,1.0,0.0,0.0,0.0
78.157.58.7,163,0.6640863719698513,157,27.05521472392638,11964.552147239263,1950222,0.0,0.0,0.0,0,0.0,0.15432098765432098,0.0,1.0,0.0,0.0,0.0
80.253.130.200,162,0.660012222448564,119,27.91358024691358,13175.222222222223,2134386,0.0,0.0,0.0,0,0.0,3.279503105590062,0.0,0.9938271604938271,0.0,0.0,0.006172839506172839
185.30.7.254,161,0.6559380729272765,86,31.577639751552795,11224.285714285714,1807110,0.018633540372670808,0.0,0.018633540372670808,0,0.0,13.88125,0.0,0.9316770186335404,0.0,0.0,0.06832298136645963
51.15.15.54,160,0.651863923405989,160,78.35,21972.24375,3515559,0.00625,0.0,0.00625,0,0.0,34.84905660377358,29.0,1.0,0.0,0.0,0.0
185.71.195.66,160,0.651863923405989,160,21.3875,8398.7,1343792,0.0,0.0,0.0,0,0.0,1.3144654088050314,0.0,1.0,0.0,0.0,0.0
5.78.195.160,160,0.651863923405989,124,29.68125,10419.1125,1667058,0.0,0.0,0.0,0,0.0,2.7044025157232703,0.0,1.0,0.0,0.0,0.0
2.178.21.220,158,0.6437156243634141,111,31.740506329113924,9000.322784810127,1422051,0.0189873417721519,0.0,0.0189873417721519,0,0.0,11.152866242038217,0.0,1.0,0.0,0.0,0.0
2.184.208.209,158,0.6437156243634141,117,29.21518987341772,7175.803797468355,1133777,0.0,0.0,0.0,0,0.0,2.0573248407643314,0.0,0.9810126582278481,0.0,0.0,0.0189873417721519
178.252.132.98,154,0.6274190262782644,133,29.954545454545453,12781.564935064935,1968361,0.0,0.0,0.0,0,0.0,0.5816993464052288,0.0,0.9935064935064936,0.0,0.0,0.006493506493506494
5.121.158.67,150,0.6111224281931147,115,31.726666666666667,6120.693333333334,918104,0.0,0.0,0.0,0,0.0,1.7516778523489933,0.0,0.9666666666666667,0.0,0.0,0.03333333333333333
91.98.108.68,150,0.6111224281931147,133,31.28,10466.6,1569990,0.0,0.0,0.0,0,0.0,1.1476510067114094,0.0,0.98,0.0,0.0,0.02
188.226.164.216,148,0.6029741291505398,124,29.844594594594593,10361.182432432432,1533455,0.0,0.0,0.0,0,0.0,0.8571428571428571,0.0,1.0,0.0,0.0,0.0
86.55.46.218,147,0.5988999796292525,130,29.64625850340136,10802.619047619048,1587985,0.0,0.0,0.0,0,0.0,1.9863013698630136,0.0,1.0,0.0,0.0,0.0
89.43.0.4,147,0.5988999796292525,144,22.87074829931973,6140.265306122449,902619,0.0,0.0,0.0,0,0.0,0.08904109589041095,0.0,1.0,0.0,0.0,0.0
77.237.69.187,147,0.5988999796292525,102,26.73469387755102,20133.95918367347,2959692,0.006802721088435374,0.0,0.006802721088435374,0,0.0,3.0616438356164384,0.0,1.0,0.0,0.0,0.0
89.196.197.15,145,0.5907516805866776,70,38.84137931034483,16895.35172413793,2449826,0.0,0.0,0.0,0,0.0,5.416666666666667,0.0,1.0,0.0,0.0,0.0
188.229.57.121,145,0.5907516805866776,137,31.427586206896553,7144.627586206897,1035971,0.0,0.0,0.0,0,0.0,0.5069444444444444,0.0,0.9793103448275862,0.0,0.0,0.020689655172413793
2.181.172.189,144,0.5866775310653901,129,30.61111111111111,10977.277777777777,1580728,0.0,0.0,0.0,0,0.0,0.8811188811188811,0.0,1.0,0.0,0.0,0.0
5.215.71.65,143,0.5826033815441027,107,33.39160839160839,21094.00699300699,3016443,0.0,0.0,0.0,0,0.0,4.014084507042254,0.0,1.0,0.0,0.0,0.0
54.37.16.239,143,0.5826033815441027,114,36.16083916083916,13702.181818181818,1959412,0.0,0.0,0.0,0,0.0,63.92253521126761,0.0,1.0,0.0,0.0,0.0
159.65.185.106,142,0.5785292320228153,118,34.12676056338028,17712.605633802817,2515190,0.007042253521126761,0.0,0.007042253521126761,0,0.0,2.4113475177304964,0.0,1.0,0.0,0.0,0.0
5.218.42.209,141,0.5744550825015279,122,30.70921985815603,10503.489361702128,1480992,0.0,0.0,0.0,0,0.0,1.0071428571428571,0.0,1.0,0.0,0.0,0.0
185.129.214.209,141,0.5744550825015279,100,35.04964539007092,11863.595744680852,1672767,0.028368794326241134,0.0,0.028368794326241134,0,0.0,1.9214285714285715,0.0,1.0,0.0,0.0,0.0
188.118.104.29,140,0.5703809329802404,127,30.557142857142857,11576.185714285713,1620666,0.0,0.0,0.0,0,0.0,1.2805755395683454,0.0,1.0,0.0,0.0,0.0
217.218.6.200,139,0.566306783458953,106,33.94964028776978,10134.690647482015,1408722,0.0,0.0,0.0,0,0.0,13.27536231884058,0.0,0.9928057553956835,0.0,0.0,0.007194244604316547
83.120.160.242,139,0.566306783458953,119,39.906474820143885,9486.287769784172,1318594,0.007194244604316547,0.0,0.007194244604316547,0,0.0,2.7681159420289854,0.0,1.0,0.0,0.0,0.0
176.65.169.113,138,0.5622326339376655,98,36.20289855072464,10613.289855072464,1464634,0.0,0.0,0.0,0,0.0,6.693430656934306,0.0,1.0,0.0,0.0,0.0
5.115.54.117,138,0.5622326339376655,108,28.07246376811594,7261.173913043478,1002042,0.0,0.0,0.0,0,0.0,12.291970802919709,0.0,1.0,0.0,0.0,0.0
2.186.116.224,137,0.558158484416378,118,29.21897810218978,6915.467153284671,947419,0.014598540145985401,0.0,0.014598540145985401,0,0.0,0.09558823529411764,0.0,0.9927007299270073,0.0,0.0,0.0072992700729927005
52.162.211.179,136,0.5540843348950907,136,31.191176470588236,5322.360294117647,723841,0.0,0.0,0.0,0,0.0,39.422222222222224,0.0,1.0,0.0,0.0,0.0
2.178.44.116,136,0.5540843348950907,73,36.86029411764706,14322.551470588236,1947867,0.029411764705882353,0.0,0.029411764705882353,0,0.0,0.8444444444444444,0.0,1.0,0.0,0.0,0.0
178.251.212.114,136,0.5540843348950907,131,29.522058823529413,7443.97794117647,1012381,0.0,0.0,0.0,0,0.0,8.237037037037037,0.0,1.0,0.0,0.0,0.0
77.104.99.174,136,0.5540843348950907,136,30.551470588235293,6057.705882352941,823848,0.0,0.0,0.0,0,0.0,0.02962962962962963,0.0,1.0,0.0,0.0,0.0
5.112.64.116,135,0.5500101853738032,124,31.444444444444443,15760.533333333333,2127672,0.014814814814814815,0.0,0.014814814814814815,1,0.007407407407407408,1.8955223880597014,0.0,1.0,0.0,0.0,0.0
46.51.58.21,135,0.5500101853738032,106,38.15555555555556,9095.2,1227852,0.022222222222222223,0.0,0.022222222222222223,0,0.0,2.470149253731343,0.0,1.0,0.0,0.0,0.0
66.249.66.197,135,0.5500101853738032,131,102.06666666666666,22276.925925925927,3007385,0.05925925925925926,0.0,0.05925925925925926,0,0.0,107.91791044776119,0.0,1.0,0.0,0.0,0.0
185.180.128.105,134,0.5459360358525158,128,29.32089552238806,7055.865671641791,945486,0.0,0.0,0.0,0,0.0,0.40601503759398494,0.0,1.0,0.0,0.0,0.0
66.111.54.249,134,0.5459360358525158,103,42.059701492537314,10477.298507462687,1403958,0.03731343283582089,0.0,0.03731343283582089,0,0.0,3.4285714285714284,0.0,1.0,0.0,0.0,0.0
157.55.39.236,131,0.5337135872886535,130,28.64885496183206,8499.893129770993,1113486,0.0,0.0,0.0,0,0.0,92.38461538461539,0.0,1.0,0.0,0.0,0.0
