IP,total_requests,requests_per_minute,unique_url_count,avg_url_length,avg_response_bytes,total_response_bytes,status_4xx_ratio,status_5xx_ratio,error_ratio_4xx_5xx,suspicious_uri_count,suspicious_uri_ratio,avg_request_interval_sec,min_request_interval_sec,method_ratio_GET,method_ratio_HEAD,method_ratio_OTHER,method_ratio_POST,label_reason,weak_label
65.49.68.167,1,0.0040741495212874,1,12.0,3294.0,3294,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
40.77.189.226,1,0.0040741495212874,1,33.0,2533.0,2533,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
83.121.104.77,2,0.0081482990425748,2,12.0,4071.0,8142,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,none,Normal
5.215.75.242,2,0.0081482990425748,2,12.0,4071.0,8142,0.0,0.0,0.0,0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,none,Normal
5.215.232.223,19,0.0774088409044611,18,36.47368421052632,18085.57894736842,343626,0.0,0.0,0.0,0,0.0,4.888888888888889,0.0,1.0,0.0,0.0,0.0,none,Normal
83.120.2.57,7,0.028519046649012,7,12.0,3989.857142857143,27929,0.0,0.0,0.0,0,0.0,37.0,0.0,1.0,0.0,0.0,0.0,none,Normal
54.36.148.85,4,0.0162965980851497,4,56.5,25309.5,101238,0.0,0.0,0.0,0,0.0,2356.0,700.0,1.0,0.0,0.0,0.0,none,Normal
142.93.136.67,1,0.0040741495212874,1,12.0,5852.0,5852,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
83.121.106.30,2,0.0081482990425748,2,12.0,4071.0,8142,0.0,0.0,0.0,0,0.0,14.0,14.0,1.0,0.0,0.0,0.0,none,Normal
5.208.102.126,2,0.0081482990425748,2,12.0,3634.5,7269,0.0,0.0,0.0,0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,none,Normal
151.235.188.39,2,0.0081482990425748,2,18.0,7415.0,14830,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,none,Normal
