window_start,requests_per_window,unique_ip_count,unique_url_count,avg_url_length,max_url_length,avg_response_bytes,total_response_bytes,status_2xx_ratio,status_3xx_ratio,status_4xx_ratio,status_5xx_ratio,suspicious_uri_ratio,avg_request_interval_sec,method_ratio_GET,method_ratio_HEAD,method_ratio_OTHER,method_ratio_POST,max_requests_single_ip
2019-01-22 06:33:00,331,55,270,69.26283987915407,434,18139.12688821752,6004051,0.879154078549849,0.06042296072507553,0.06042296072507553,0.0,0.006042296072507553,81.11320754716981,0.9939577039274925,0.006042296072507553,0.0,0.0,38
2019-01-22 06:34:00,219,48,175,82.00913242009132,426,19556.013698630137,4282767,0.867579908675799,0.091324200913242,0.0410958904109589,0.0,0.0045662100456621,119.2871287128713,0.9863013698630136,0.0091324200913242,0.0,0.0045662100456621,39
2019-01-22 06:35:00,314,42,253,67.59872611464968,430,16902.238853503186,5307303,0.8853503184713376,0.07961783439490445,0.03503184713375796,0.0,0.0,88.26421404682274,0.9904458598726115,0.009554140127388535,0.0,0.0,77
2019-01-22 06:36:00,275,68,216,67.07272727272728,434,22053.20727272727,6064632,0.8690909090909091,0.09818181818181818,0.03272727272727273,0.0,0.0,83.43621399176955,0.9890909090909091,0.01090909090909091,0.0,0.0,47
2019-01-22 06:37:00,320,48,255,76.271875,429,18663.95625,5972466,0.81875,0.115625,0.065625,0.0,0.00625,76.55483870967743,0.99375,0.00625,0.0,0.0,54
2019-01-22 06:38:00,374,55,262,71.02673796791444,430,20739.85561497326,7756706,0.8716577540106952,0.09893048128342247,0.029411764705882353,0.0,0.0053475935828877,76.10734463276836,0.9946524064171123,0.0053475935828877,0.0,0.0,54
2019-01-22 06:39:00,376,60,292,67.36702127659575,442,18476.882978723403,6947308,0.8909574468085106,0.06914893617021277,0.0398936170212766,0.0,0.0,89.75070028011204,0.9920212765957447,0.007978723404255319,0.0,0.0,64
2019-01-22 06:40:00,468,71,348,55.886752136752136,433,17991.529914529914,8420036,0.9188034188034188,0.038461538461538464,0.042735042735042736,0.0,0.004273504273504274,67.31724137931035,0.9914529914529915,0.008547008547008548,0.0,0.0,64
2019-01-22 06:41:00,283,52,236,74.84098939929329,430,20034.865724381627,5669867,0.8869257950530035,0.09187279151943463,0.02120141342756184,0.0,0.0035335689045936395,92.04166666666667,0.9893992932862191,0.01060070671378092,0.0,0.0,40
2019-01-22 06:42:00,312,54,216,65.52884615384616,433,17323.93269230769,5405067,0.8685897435897436,0.08333333333333333,0.04807692307692308,0.0,0.0,39.79794520547945,0.9935897435897436,0.00641025641025641,0.0,0.0,61
2019-01-22 06:43:00,475,58,341,51.654736842105265,433,14285.113684210526,6785429,0.9010526315789473,0.07157894736842105,0.02736842105263158,0.0,0.0,44.67763157894737,0.9873684210526316,0.00631578947368421,0.0,0.00631578947368421,108
2019-01-22 06:44:00,591,63,425,44.82910321489002,426,14456.091370558375,8543550,0.8629441624365483,0.08629441624365482,0.050761421319796954,0.0,0.0,34.386925795053,0.988155668358714,0.00338409475465313,0.0,0.008460236886632826,97
2019-01-22 06:45:00,324,60,265,46.94135802469136,407,14091.99074074074,4565805,0.8518518518518519,0.11728395061728394,0.030864197530864196,0.0,0.0,126.66666666666667,0.9907407407407407,0.009259259259259259,0.0,0.0,83
2019-01-22 06:46:00,329,60,251,53.70820668693009,765,17546.562310030396,5772819,0.8753799392097265,0.1033434650455927,0.02127659574468085,0.0,0.0,130.29968454258676,0.9908814589665653,0.00911854103343465,0.0,0.0,42
2019-01-22 06:47:00,278,49,204,52.96762589928058,407,18118.474820143885,5036936,0.8705035971223022,0.10431654676258993,0.025179856115107913,0.0,0.0,173.55984555984557,0.9964028776978417,0.0035971223021582736,0.0,0.0,39
